source,target,weight
35,50,1
9,1,1
19,15,1
26,3,1
16,44,1
16,55,1
27,9,1
35,10,1
52,40,1
33,34,1
39,55,1
43,48,1
47,28,1
59,16,1
31,17,1
47,39,1
1,51,1
41,43,1
38,48,1
25,53,1
45,38,1
53,8,1
59,44,1
31,34,1
56,21,1
49,46,1
49,22,1
57,16,1
47,16,1
0,50,1
37,6,1
54,36,1
26,48,1
58,50,1
0,10,1
4,3,1
14,17,1
11,22,1
53,14,1
44,23,1
59,39,1
28,23,1
57,44,1
27,1,1
38,3,1
54,9,1
2,30,1
14,34,1
54,13,1
15,51,1
36,1,1
6,48,1
59,23,1
28,29,1
48,3,1
28,55,1
54,15,1
26,38,1
17,8,1
4,37,1
4,48,1
15,13,1
17,34,1
59,29,1
9,51,1
57,23,1
38,6,1
44,28,1
7,21,1
42,52,1
19,1,1
13,1,1
43,6,1
19,54,1
6,3,1
41,45,1
57,29,1
47,29,1
58,35,1
4,43,1
53,34,1
5,21,1
11,46,1
15,36,1
24,32,1
35,0,1
26,6,1
10,50,1
55,29,1
47,44,1
31,33,1
15,9,1
57,59,1
41,48,1
25,14,1
45,43,1
4,6,1
41,37,1
53,17,1
38,37,1
25,31,1
16,39,1
36,51,1
14,33,1
54,1,1
23,29,1
47,23,1
59,55,1
25,33,1
16,28,1
41,38,1
41,3,1
38,43,1
18,32,1
36,13,1
19,27,1
27,36,1
59,28,1
56,5,1
53,31,1
19,51,1
26,4,1
57,55,1
47,55,1
42,40,1
19,13,1
16,29,1
26,43,1
58,10,1
53,33,1
33,8,1
39,29,1
2,12,1
37,43,1
45,37,1
37,3,1
57,28,1
26,45,1
41,4,1
57,39,1
20,32,1
27,51,1
59,47,1
27,15,1
31,8,1
41,6,1
24,20,1
18,24,1
46,22,1
44,39,1
27,13,1
45,3,1
28,39,1
36,9,1
58,0,1
57,47,1
15,1,1
34,8,1
19,36,1
37,48,1
25,17,1
7,5,1
49,11,1
54,51,1
54,27,1
13,51,1
43,3,1
23,55,1
14,8,1
31,14,1
12,30,1
16,23,1
26,37,1
25,8,1
19,9,1
13,9,1
26,41,1
44,29,1
45,4,1
39,23,1
25,34,1
45,48,1
4,38,1
33,17,1
56,7,1
44,55,1
45,6,1
18,20,1
